Gene	Meta program	Annotation
OLFML2B	4	Mesenchymal
NCAM2	4	Mesenchymal
CNTNAP3B	4	Mesenchymal
ADCY8	4	Mesenchymal
MIR124-2HG	4	Mesenchymal
MAOB	4	Mesenchymal
TUBA3C	4	Mesenchymal
UNC5C	4	Mesenchymal
ROBO2	4	Mesenchymal
MDFIC2	4	Mesenchymal
SCN1A	4	Mesenchymal
EYS	4	Mesenchymal
ADAM23	4	Mesenchymal
UBASH3B	4	Mesenchymal
MPZ	4	Mesenchymal
KCNJ3	4	Mesenchymal
MSRB3	4	Mesenchymal
PPP4R4	4	Mesenchymal
POU3F3	4	Mesenchymal
IGSF11	4	Mesenchymal
SLC16A12	4	Mesenchymal
FAM133A	4	Mesenchymal
MMD2	4	Mesenchymal
COL6A3	4	Mesenchymal
MIA	4	Mesenchymal
SLC16A2	4	Mesenchymal
PEG3	4	Mesenchymal
STK38L	4	Mesenchymal
SYNPO2	4	Mesenchymal
SIAH3	4	Mesenchymal
ADARB1	4	Mesenchymal
DPF3	4	Mesenchymal
MMP10	4	Mesenchymal
CRISPLD1	4	Mesenchymal
KCTD8	4	Mesenchymal
ARSJ	4	Mesenchymal
ITGA9	4	Mesenchymal
VAT1L	4	Mesenchymal
PCDH11X	4	Mesenchymal
NHSL2	4	Mesenchymal
GDNF-AS1	4	Mesenchymal
AC067773.1	4	Mesenchymal
HDAC9	4	Mesenchymal
MXRA8	4	Mesenchymal
PDE3A	4	Mesenchymal
IL1RAP	4	Mesenchymal
C4orf54	4	Mesenchymal
CSGALNACT1	4	Mesenchymal
PRDM16	4	Mesenchymal
SDC2	4	Mesenchymal
1-Dec	4	Mesenchymal
RERGL	4	Mesenchymal
PLPP1	4	Mesenchymal
CHGB	4	Mesenchymal
ADAMTS17	4	Mesenchymal
CCDC80	4	Mesenchymal
RASSF9	4	Mesenchymal
NRP2	4	Mesenchymal
GPC5	4	Mesenchymal
PTX3	4	Mesenchymal
NALCN	4	Mesenchymal
BHLHE22	4	Mesenchymal
COL5A2	4	Mesenchymal
CDH3	4	Mesenchymal
LINGO2	4	Mesenchymal
FN1	4	Mesenchymal
PCDH11Y	4	Mesenchymal
HAND2	4	Mesenchymal
ADARB2	4	Mesenchymal
KCNQ5	4	Mesenchymal
FBN1	4	Mesenchymal
FBLN5	4	Mesenchymal
ARHGAP28	4	Mesenchymal
SHISA9	4	Mesenchymal
CDH18-AS1	4	Mesenchymal
TBX5	4	Mesenchymal
CX3CL1	4	Mesenchymal
TSBP1-AS1	4	Mesenchymal
LUM	4	Mesenchymal
PTPRO	4	Mesenchymal
TSPEAR	4	Mesenchymal
RGS4	4	Mesenchymal
ADAM19	4	Mesenchymal
STAC2	4	Mesenchymal
PRIMA1	4	Mesenchymal
GRIK4	4	Mesenchymal
SYN2	4	Mesenchymal
GDNF	4	Mesenchymal
LGR5	4	Mesenchymal
SLC6A15	4	Mesenchymal
DDR2	4	Mesenchymal
SH3GL3	4	Mesenchymal
CDH22	4	Mesenchymal
NTS	4	Mesenchymal
MFAP4	4	Mesenchymal
GRIK3	4	Mesenchymal
DCAF8L2	4	Mesenchymal
SLC6A5	4	Mesenchymal
COL3A1	4	Mesenchymal
NTNG1	4	Mesenchymal
PLXNA4	4	Mesenchymal
GPR176	4	Mesenchymal
NGF	4	Mesenchymal
CYTOR	4	Mesenchymal
BCAN	4	Mesenchymal
ADAM12	4	Mesenchymal
DLK1	4	Mesenchymal
CCDC178	4	Mesenchymal
COL9A1	4	Mesenchymal
RNF182	4	Mesenchymal
PCDH19	4	Mesenchymal
AJAP1	4	Mesenchymal
NPR3	4	Mesenchymal
PKHD1L1	4	Mesenchymal
VCAN-AS1	4	Mesenchymal
SUGCT	4	Mesenchymal
GRIA4	4	Mesenchymal
ATP10A	4	Mesenchymal
MGLL	4	Mesenchymal
SERPINA12	4	Mesenchymal
S100A1	4	Mesenchymal
SGIP1	4	Mesenchymal
ADAMTS8	4	Mesenchymal
FAM135B	4	Mesenchymal
ATP1A2	4	Mesenchymal
FGF5	4	Mesenchymal
BPI	4	Mesenchymal
ADAMTS5	4	Mesenchymal
WFIKKN2	4	Mesenchymal
WDR49	4	Mesenchymal
LRRC53	4	Mesenchymal
ISL1	4	Mesenchymal
DGKB	4	Mesenchymal
HMCN2	4	Mesenchymal
CABP7	4	Mesenchymal
FRMPD4	4	Mesenchymal
CASC17	4	Mesenchymal
ASB4	4	Mesenchymal
KLHL1	4	Mesenchymal
SMAD9	4	Mesenchymal
RHBDL3	4	Mesenchymal
CTAG2	4	Mesenchymal
MGAT4C	4	Mesenchymal
MEOX2	4	Mesenchymal
U91319.1	4	Mesenchymal
C2CD6	4	Mesenchymal
C10orf90	4	Mesenchymal
POSTN	4	Mesenchymal
FOLR1	4	Mesenchymal
NECTIN3	4	Mesenchymal
NUP62CL	4	Mesenchymal
ST8SIA6-AS1	4	Mesenchymal
SMOC1	4	Mesenchymal
ZFHX4-AS1	4	Mesenchymal
MEI4	4	Mesenchymal
CAMK4	4	Mesenchymal
MSC-AS1	4	Mesenchymal
GPC5-AS2	4	Mesenchymal
NWD1	4	Mesenchymal
DCN	4	Mesenchymal
NELL1	4	Mesenchymal
DCC	4	Mesenchymal
LURAP1L	4	Mesenchymal
CALN1	4	Mesenchymal
TMEM132B	4	Mesenchymal
CNTN5	4	Mesenchymal
GABRG3	4	Mesenchymal
MUC7	4	Mesenchymal
ANO3	4	Mesenchymal
ITGA11	4	Mesenchymal
PRLR	4	Mesenchymal
OCA2	4	Mesenchymal
VEPH1	4	Mesenchymal
ANKRD1	4	Mesenchymal
PHEX	4	Mesenchymal
FYB2	4	Mesenchymal
NDST4	4	Mesenchymal
SULT1C4	4	Mesenchymal
SCG2	4	Mesenchymal
CACNA1E	4	Mesenchymal
COL11A1	4	Mesenchymal
PWWP3B	4	Mesenchymal
AC099541.2	4	Mesenchymal
