LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
				IGFBP4	LRRK2	NMU		FADS1	OAS2	HES1						FSD1	EPB41L2			ISG20	
				MT-CO2	RERG	HMGB2		FAM111A	OAS3	HEXIM1						FSTL1	EPHB4			ISOC1	
				PLVAP	AC018742.1	KIF20A		FAM111B	OASL	HNRNPU-AS1						GAD2	EPHX4			ITGB7	
				ITGA11	PCDH9	DBF4		FAM64A	PARP14	HSP90AA1						GAP43	EPN3			JAK2	
				LMOD1	PTCHD4	GAS2L3		FAM83D	PARP9	HSPA1A						GDAP1L1	ETV7			KLRK1	
				MT-ND3	ATP10A	CCNA2		FANCA	PDZK1IP1	HSPA1B						GHRH	EVC			LAP3	
				CLEC11A	WNK2	SKA3		FANCD2	PLSCR1	HSPA5						GJD2	FAM117A			LATS2	
				LAPTM5	DPYD	CCNB2		FANCI	PSMB10	HSPA6						GLB1L3	FAM124A			LCP2	
				MT-CO1	AC019117.1	CEP128		FBLN1	PSMB8	HSPA8						GLIPR2	FAM171A1			LGALS3BP	
				GYPC	SNCAIP	RGS3		FBXO5	PSMB9	HSPB1						GNB3	FAM86B1			LY6E	
				CRISPLD2	LIMCH1	GEN1		FEN1	PSME1	HSPH1						GNG2	FAT1			LYSMD2	
				NOX4	ANXA4	FOXM1		FOXM1	PSME2	ID1						GNG3	FAT3			MARCHF1	
				ELN	BMPR1B	SPC25		GGCT	RARRES3	ID2						GNG8	FBLIM1			TMT1B	
				PODN	KCNMA1	WDR62		GGH	RNF213	IER2						GPM6B	FBLN1			MT2A	
				C7	PTP4A1	NCAPG2		GINS2	RSAD2	IER3						GPR156	FBLN5			MTHFD2	
				BOC	DTNA	ARHGEF39		GMNN	RTP4	IER5						GPR162	FEZ1			MVP	
				NTM	NBEA	CKS2		GPSM2	SAA1	IFRD1						GPR26	FGF7			MX1	
				DPYSL3	TTN	NLGN1		GTSE1	SAMD9	IL8						GPX7	FOXI1			MX2	
				MXRA8	DLG2	PLK4		H1F0	SAMD9L	IRX2						GRIA1	FOXL2			MYD88	
				LIMS2	PTPRM	BRCA2		H2AFV	SAMHD1	ITPKC						GRIA4	FRMD4A			NAMPT	
				TBX2	SCN9A	PRC1		H2AFX	SERPING1	JAG1						HPCA	FXYD5			NCOA3	
				RUNX1T1	TMEM132C	G2E3		H2AFZ	SERPINH1	JUN						ID4	GAB2			NFKB1	
				IFFO1	HIF1A	KIF24		HAUS1	SLFN5	JUNB						IGFBPL1	GAL			NFKBIA	
				APOO	KHDRBS2	NEURL1B		HELLS	SOD2	JUND						IGSF9	GAL3ST4			NLRC5	
				SGIP1	SLC16A7	NDE1		HINT1	SP100	KCNQ1OT1						IL10RA	GALNT14			NMI	
				TTR	AJAP1	UBE2S		HIRIP3	SP110	KDM6B						ILDR2	GANC			NOD1	
				HIC1	KIF12	SKA2		HIST1H1D	SPP1	KIAA1683						IQSEC3	GAS1			NUP93	
				COL4A1	SEMA6A	OIP5		HIST1H1E	SQRDL	KLF10						ISL1	GAS2L1			OAS2	
				FTL	GRM8	SPDL1		HIST1H2BJ	STAT1	KLF2						ITGA4	GAS7			OAS3	
				CD248	LRAT	MPHOSPH9		HIST1H4C	TAP1	KLF4						JAM2	GBGT1			OASL	
				RPL15	TRIM5	ARHGAP33		HIST2H2AC	TAP2.1	KLF5						KCNG1	GCNT2			OGFR	
				TGFBI	NFIB	SAPCD2		HJURP	TAPBP	KLF6						KCNJ4	GFI1B			P2RY14	
				PCOLCE	PDE7A	TMPO		HMG20B	TGM2	LDLR						KCNQ2	GJB2			PARP12	
				MT-ATP6	ONECUT2	MXD3		HMGB1	TNFSF10	LIF						KCNS2	GJC3			PARP14	
				ANXA6	PRICKLE2	EZH2		HMGB2	TNFSF13B	LIMA1						KIF5A	GMPR			PDE4B	
				MFAP2	CDH6	CDC25B		HMGB3	TRIM22	LINC00910						KRTAP3-1	GNAT3			PELI1	
				COL11A1	AC124312.1	SCG5		HMGN2	TYMP	LINC00936						L1CAM	GNG13			PFKP	
				SERPING1	MAPK10	SMC2		HMMR	UBD	LMNA						LAYN	GPM6A			PIM1	
				MYH11	RBPMS	USP13		HN1	UBE2L6	MAFB						LBX1	GRASP			PLA2G4A	
				RGS16	APCDD1	C2orf48		HNRNPA1	USP18	MAFF						LDB3	GRIK2			PLSCR1	
				ITGAX	CES1	KIF22		HNRNPA2B1	VCAM1	MALAT1						LHX3	GSTO2			PML	
				CSRP1	LINC01266	TBC1D31		HPRT1	WARS	MAP3K8						LHX8	GSTP1			PNP	
				DKK3	SERPINA6	HP1BP3		HSPD1	XAF1	MCL1						LMO1	HAPLN3			PNPT1	
				PSAP	ADGRL2	POC1A		ILF2	ZC3HAV1	METTL15						LOXL1	HBB			HELZ2	
				RPL3	LINC00671	HYLS1		IQGAP3	ZNFX1	MIDN						LRCH2	HCK			PSMA2	
				NUPR1	TENM3	CNTRL		ITGB3BP		MIR222HG						LRFN5	HDAC7			PSMA3	
				FMNL3	KCNJ15	FBXO5		JPT1		MIR24-2						LRRC4B	HEBP1			PSMB10	
				TMEM158	MEIS2	CENPK		KIAA0101		MIR3064						LRRN3	HELT			PSMB2	
				MMP19	FIGN	DLEU2		KIAA1524		MKNK2						LRTM2	HES2			PSMB8	
				ADAMTS12	GABRB3	CEP152		KIF11		MXD1						LY6E	HMGN5			PSMB9	
				MRC2	SDK1	RAD51AP1		KIF14		MYADM						MAGED4B	HMOX1			PSME1	
				FBN1	KCNT2	TNFAIP8L1		KIF15		MYC						MAP1B	HMX1			PSME2	
				PPP1R14A	ZNF503-AS1	UBE2T		KIF18A		MYLIP						MAPT	HMX2			PTGS2	
				HAND2	CFH	FAM72B		KIF20A		NAMPT						MAST1	HMX3			PTPN1	
				GRASP	ARHGAP44	RAD21		KIF20B		NCOA7						MCC	HOMER3			PTPN2	
				MT-ND1	ANKS1B	TTF2		KIF22		NEAT1						MDGA1	HOXA2			PTPN6	
				CXCL12	THSD4	RTKN2		KIF23		NEDD9						MFAP4	HOXA3			RAPGEF6	
				RPLP1	NR3C2	MZT1		KIF2C		NFKBIA						MRAP2	HOXC10			RBCK1	
				MT-ND4	ADARB2	RCCD1		KIF4A		NFKBID						MSC	HOXC11			RIPK1	
				LAMP5	NRXN3	CDK5RAP2		KIFC1		NFKBIZ						MYO3B	HOXC12			RIPK2	
				ITGA5	TOX	FBXO43		KNSTRN		NOP58						MYT1L	HOXC13			RNF213	
				ZEB2	NFIA	NCAPD3		KPNA2		NPAS4						NACAD	HOXC4			RNF31	
				COL18A1	ANPEP	BRD8		LIG1		NR4A1						NALCN	HOXC5			RSAD2	
				CD34	GRB10	CEP70		LMNB1		NR4A2						NAP1L3	HOXC6			RTP4	
				KIAA1755	TUSC3	ODF2		LMNB2		NRARP						NCAN	HOXC8			SAMD9L	
				C1S	HABP2	H2AFX		LSM4		NSUN6						NDRG4	HOXC9			SAMHD1	
				EVA1B	DACH1	TBCD		LSM5		OVOL1						NECAB2	HSBP1L1			SECTM1	
				HSPB6	MPP6	H2AFV		MAD2L1		PDK4						NEUROD1	HSPA4L			SELP	
				RAMP2	CAMK1D	SKA1		MAPRE1		PDLIM3						NEUROD2	HTR3E			SERPING1	
				BNC2	SLC1A1	CEP192		MCM10		PGM2L1						NEUROD4	IER3			SLAMF7	
				ADAM33	SERPING1	FAM111A		MCM2		PHLDA1						NEUROD6	IFITM3			SLC25A28	
				OLFML2B	MEF2C	NDC1		MCM3		PHLDA2						NEUROG1	IGFBP7			SOCS1	
				PHLDB1	MUC5B	LBR		MCM4		PIM1						NFAM1	IL12A			SOCS3	
				MCAM	FHIT	HIST1H2BJ		MCM5		PIM3						NHLH1	IL13RA1			SOD2	
				CPE	SLC5A1	C17orf53		MCM6		PLAUR						NHLH2	IL17RB			SP110	
				ADAMTS4	PDGFC	CHEK2		MCM7		PLK2						NKAIN1	IL18R1			SPPL2A	
				SLIT3	ASRGL1	FAM72D		MELK		PLK3						NLRP1	IL1R1			SRI	
				SPP1	SULT1C4	LMNB2		MIS18A		PMAIP1						NPY	IL1RAPL2			SSPN	
				ELMO1	CACNA1H	ESCO2		MIS18BP1		PNRC1						NTN3	IMP4			ST3GAL5	
				SRGN	NREP	BARD1		MKI67		POLG2						NUDT10	IPCEF1			ST8SIA4	
				WNT5A	DSEL	CENPL		MLF1IP		PPP1R10						NUDT11	ISM2			STAT1	
				WISP1	SLC4A7	POLH		MMS22L		PPP1R15A						NXN	ITGB5			STAT2	
				IGHG3	REG1A	EXPH5		MND1		PRKCA						OLFM1	IVNS1ABP			STAT3	
				C1QB	MLLT3	SPC24		MNS1		PRPF40A						P2RX3	KAT2B			STAT4	
				MEDAG	TDRP	KIAA0586		MSH2		PTGS2						PABPC4L	KBTBD11			TAP1	
				TMEM204	DLGAP1	TUBB4B		MSH6		PTRHD1						PAK3	KCNMB1			TAPBP	
				NRXN2	ST8SIA3	DTYMK		MTHFD1		RAB11FIP1						PALM	KCNMB4			TDRD7	
				MT-CYB	FXYD2	ARHGAP11B		MXD3		RAB3IP						PALM3	KCNN3			TNFAIP2	
				IL1R1	EPB41L4A	VRK1		MYBL2		RALGDS						PAX3	KCNQ4			TNFAIP3	
				ZBTB16	IQCA1	CDC27		MZT1		RASD1						PAX6	KCTD1			TNFAIP6	
